epoch,step,train/loss_step,val/loss,val/ndcg@10,val/ndcg@5,val/recall@10,val/recall@5
0,99,16.445009231567383,,,,,
0,99,,19.588647842407227,0.0011094624642282724,0.0007704839226789773,0.002269587479531765,0.0011841326486319304
0,199,15.325234413146973,,,,,
0,199,,15.597481727600098,0.0015581329353153706,0.001196451485157013,0.0030261166393756866,0.0018748766742646694
0,299,12.722004890441895,,,,,
0,299,,13.768903732299805,0.001205683103762567,0.0008857785142026842,0.0023682652972638607,0.0013814880512654781
0,399,10.826265335083008,,,,,
0,399,,12.908574104309082,0.0012972265249118209,0.0008921471307985485,0.0027629761025309563,0.0015130583196878433
0,499,9.185233116149902,,,,,
0,499,,11.994247436523438,0.0011083565186709166,0.0005425924900919199,0.0024340504314750433,0.0007236365927383304
0,599,10.475470542907715,,,,,
0,599,,11.27769947052002,0.0014300678158178926,0.001169927534647286,0.002664298517629504,0.0018748766742646694
0,699,9.779088973999023,,,,,
0,699,,11.110408782958984,0.0008181259618140757,0.0004713487287517637,0.0018419841071590781,0.0007236365927383304
0,799,10.330521583557129,,,,,
0,799,,11.063993453979492,0.0012208236148580909,0.001055251806974411,0.0024340504314750433,0.0019077692413702607
0,899,9.227283477783203,,,,,
0,899,,10.659149169921875,0.0015450261998921633,0.0013054554583504796,0.0028945463709533215,0.0021380172111094
0,999,9.434220314025879,,,,,
0,999,,10.677336692810059,0.0013903749641031027,0.0012178249889984727,0.0024340504314750433,0.0019077692413702607
0,1099,9.80424976348877,,,,,
0,1099,,10.827802658081055,0.0012920249719172716,0.0009673724416643381,0.0027958687860518694,0.0017761989729478955
0,1199,8.132369041442871,,,,,
0,1199,,10.657560348510742,0.0010657059028744698,0.0008039376116357744,0.002072232076898217,0.0012828103499487042
0,1299,8.395297050476074,,,,,
0,1299,,10.287300109863281,0.0015077125281095505,0.001229710760526359,0.002828761236742139,0.001940661808475852
0,1399,8.575850486755371,,,,,
0,1399,,10.350168228149414,0.0011834828183054924,0.000848910363856703,0.0024340504314750433,0.0013814880512654781
